Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ../data/cifar100/cifar-100-python.tar.gz
Extracting ../data/cifar100/cifar-100-python.tar.gz to ../data/cifar100
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  55, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.269, TAw acc= 62.4% |
| Epoch  56, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.250, TAw acc= 62.1% |
| Epoch  57, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.229, TAw acc= 62.6% | lr=3.7e-03
| Epoch  58, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.215, TAw acc= 63.4% |
| Epoch  59, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.230, TAw acc= 63.0% |
| Epoch  60, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.228, TAw acc= 63.3% |
| Epoch  61, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.226, TAw acc= 63.0% |
| Epoch  62, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.221, TAw acc= 63.4% | lr=1.2e-03
| Epoch  63, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.224, TAw acc= 63.3% |
| Epoch  64, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.219, TAw acc= 63.8% |
| Epoch  65, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.234, TAw acc= 63.0% |
| Epoch  66, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.221, TAw acc= 63.7% |
| Epoch  67, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.226, TAw acc= 62.7% | lr=4.1e-04
| Epoch  68, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.211, TAw acc= 63.5% |
| Epoch  69, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.215, TAw acc= 63.8% |
| Epoch  70, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.219, TAw acc= 63.6% |
| Epoch  71, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.210, TAw acc= 63.4% |
| Epoch  72, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.207, TAw acc= 63.7% | *
| Epoch  73, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.215, TAw acc= 63.4% |
| Epoch  74, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.228, TAw acc= 62.9% |
| Epoch  75, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.220, TAw acc= 63.3% |
| Epoch  76, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.219, TAw acc= 63.7% |
| Epoch  77, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.224, TAw acc= 63.3% | lr=1.4e-04
| Epoch  78, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.226, TAw acc= 62.6% |
| Epoch  79, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.210, TAw acc= 63.1% |
| Epoch  80, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.226, TAw acc= 63.1% |
| Epoch  81, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.210, TAw acc= 63.6% |
| Epoch  82, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.214, TAw acc= 63.1% | lr=4.6e-05
